Title,Platform,Genres,Release_date,Publisher Name,Age Rating,Metascore,Description
Yet Another Zombie Defense,PC,"Action, Strategy, Casual, Indie","Mar 28, 2014",Awesome Games Studio, Not rated,78,A game in the genre of tower defense that is popular on mobile devices. The player aims to escape from the advancing hordes of zombies. The main task is to survive as long as possible.
FINAL FANTASY XV WINDOWS EDITION,PC,RPG,"Mar 6, 2018",Square Enix,13+ Teen,81,"Get ready to be at the centre of the ultimate fantasy adventure, now for Windows PC.
Joined by your closest friends on the roadtrip of a lifetime through a breathtaking open world, witness stunning landscapes and encounter larger-than-life beasts on your journey to reclaim your homeland from an unimaginable foe.
In an action-packed battle system, channel the power of your ancestors to warp effortlessly through the air in thrilling combat, and together with your comrades, master the skills of weaponry, magic and team-based attacks.
Now realised with the power of cutting-edge technology for Windows PCs, including support for high-resolution displays and HDR10, the beautiful and carefully-crafted experience of FINAL FANTASY XV can be explored like never before.
KEY FEATURES:
Embark On A Journey Without Limits.
Take the wheel and drive from the capital to the back roads, or venture out on foot to discover a vast landscape of teeming wildlife, dangerous caverns and living cities full of adventure.
Made For Windows PC Players.
Supporting high-resolution options and compatible with native 4K (3840 x 2160) resolution and HDR 10. Graphical options can also be configured to support up to 8K. Thanks to NVIDIA, you can experience the beautiful and carefully-crafted world of Eos like never before.
Bonus Content.
FINAL FANTASY XV WINDOWS EDITION boasts a wealth of bonus content, including content contained in free updates to the console versions as well as paid downloadable content originally available through the Season Pass. Players can also explore the world of Eos through Noctis's eyes in an all-new first-person mode."
ClusterTruck,"Linux, macOS, PC, Xbox One, PlayStation 4, Nintendo Switch","Action, Arcade, Indie, Platformer","Sep 26, 2016",tinyBuild, Not rated,76,"Clustertruck is a new kind of platformer on-top of a speeding highway!
Use agility and acrobatics through insane levels in a game of ""the floor is lava"" on top of unpredictable, speeding trucks!
The game only gets harder when dangers such as swinging hammers, lasers and flamethrowers are added!
Features:
A campaign mode which gradually gets more and more evil
Unlock new abilities like the Grappling Hook, Truck Cannon and Time-Control!
An in-game level editor
Steam workshop support for sharing player-made levels
A replay system
Online leader boards"
Dungeons of Dredmor,"Linux, macOS, PC","RPG, Indie","Jul 13, 2011",Gaslamp Games, Not rated,79,"Dungeons of Dredmor combines traditional dungeon crawler with rogue-like mechanics. The player controls the only character who enters a dangerous underground maze to find and defeat the evil Lord Dredmor. As you descend deeper into the ground, the difficulty will grow. Each dungeon is generated randomly with each replay. There are three levels of difficulty, and also an option to turn on the permanent death mechanic. If you choose it, the game will leave you with only one save file to overwrite, and no save-scumming. There’s a traditional turn-based combat system and a variety of melee and ranged attacks, as well as magic. When the characters levels up, the player can improve his or her set of seven skills that can allow, among other things, to craft, disarm traps, use spells or wield more powerful weapons. 
The game is played from the overhead point of view on a map divided into square tiles. The visuals are relatively simple, albeit not as minimalistic as traditional ASCII-based rogue-like games. The imagery is quite cartoonish and ironic, which adds to the game’s self-aware dark humor. The main character will complain about his or her fate, and when he or she dies, which is quite often, the game will “congratulate” you for each death."
Pillars of Eternity II: Deadfire,"Xbox One, Nintendo Switch, macOS, Linux, PlayStation 4, PC",RPG,"May 7, 2018",Versus Evil,17+ Mature,82,"Pursue a rogue god over land and sea in the sequel to the multi-award-winning RPG Pillars of Eternity. Captain your ship on a dangerous voyage of discovery across the vast unexplored archipelago region of the Deadfire. Bend the world to your will, as you explore the depths of infinite possibilities, including detailed character customization, total freedom of exploration, and more meaningful choices at every turn.
• Immerse yourself in a deeper single player RPG game experience - enriched with cutting edge technology and features, Deadfire builds on the foundation of classic D&D gameplay with vastly improved graphics, deeper game mechanics and a whole new hand-crafted adventure where choices truly matter.
• Discover the new region of the Deadfire – plot your own course by ship and explore the rich and exotic islands of the archipelago region, discovering new places interacting with their inhabitants and engaging in a variety of quests at every port.
• Build your party and customize your companions – choose from 7 different companions to join you on your quest and assign multiple classes and deeper abilities for each. Witness their personal relationships and interactions unfold with the addition of the new companion system.
• Captain your ship across the seas – as your stronghold on the seas, your ship is much more than simply a vessel for exploring. Upgrade your ship and crew and choose what skills you improve in order to survive dangerous encounters along the way."
Bionic Commando: Rearmed,"PC, PlayStation 3, Xbox 360","Action, Adventure, Arcade","Aug 14, 2008",Capcom,18+ Adults Only,86,"The game is an improved version of the game Bionic Commando, previously released for the platform Nintendo."
RESOGUN,"PS Vita, PlayStation 3, PlayStation 4",Arcade,"Nov 15, 2013",Sony Computer Entertainment,10+ Everyone 10+,84,"In Resogun, the player pilots a small futuristic airship trying to shoot down wave after wave of airborne enemies. Its graphics are based on voxels (3D pixels), which provide a simple yet colorful visual style reminiscent of Lego constructions or pixel art. All five levels vaguely remind neon-lighted, skyscraper-dominated metropolises at night. They are also based on an unusual cylindrical, ring-shaped design. The levels rotate when the airship moves right or left and scroll when you fly up or down. Each level ends with a boss fight. 
Eliminating enemies is the main objective in Resogun, but there’s also an optional objective to save the prisoners from their cages. Rescuing humans earns the player additional points, which is essential to set the high score. There are three modes: the Arcade mode, in which you simply pass through the consecutive levels; the Single Level mode, in which your goal is to obtain the highest score on a certain level; and a cooperative multiplayer for two. The player can select one of three airships that have different characteristics. Difficulty can also be adjusted on a scale from Rookie to Hero."
Tales of Zestiria,"PlayStation 3, PlayStation 4, PC",RPG,"Jan 22, 2015",Bandai Namco Entertainment, Not rated,77,"Tales of Zestiria is a Japanese role-playing game, the fifteenth installment in Bandai Namco’s Tales series. "
Cthulhu Saves the World,"iOS, PC","Adventure, RPG, Indie","Jul 13, 2011",Zeboyd Games,13+ Teen,78,"Cthulhu Saves The World is a parody RPG where you take on the role of Cthulhu, the lord of darkness who is meant to destroy the world. His powers were blocked by a magician, and now he needs to become a true hero to restore them and fulfill his mission. Inspired by Howard P. Lovecraft’s novels, the game turns the classic plot into a humorous story with multiple cultural references."
Orcs Must Die! Unchained,"PlayStation 4, PC","Action, Strategy","Mar 29, 2016",Robot Entertainment,13+ Teen,87,"Orcs Must Die! Unchained is a tower defense action game where you not only set different traps to prevent enemies from destroying your base but also fight them directly. Unchained is the third installment in the series, that includes Orcs Must Die! and Orcs Must Die! 2."
Serena,"Linux, macOS, PC","Adventure, Indie","Jan 30, 2014",Senscape, Not rated,,"Serena is an adventure game made by numerous developers, mainly Senscape, and released as a freeware title with the intention to show off Senscape’s Dagon engine. The game features voice acting from famed adventure games developer Josh Mandel, and Sarah Wilson was also known as Pushing Up Roses. "
High on Life,"PC, Xbox Series S/X","Action, Shooter, Adventure","Dec 13, 2022",Squanch Games, Not rated,76,"From the mind of Justin Roiland (Rick and Morty, Solar Opposites) comes High On Life. Humanity is being threatened by an alien cartel who wants to use them as drugs. It’s up to you to rescue and partner with charismatic, talking guns, take down Garmantuous and his gang, and save the world!"
Battletoads,"Xbox One, Game Boy, NES, Game Gear, Commodore / Amiga, Genesis, PC","Action, Adventure, Platformer","Jun 1, 1991",Microsoft Studios, Not rated,77,Battletoads are here to fight aliens form other words. Get into the battle with the most baddest toads on the planet! These toads are here to kick some rear end and chew gum...and they are all out of chewing gum. The aliens are attempting to invade the planet and all that stands in their way are these mutant toads. Battle aliens through intense and challenging levels. Shoot the invaders as quick as you can. Don't let them invade the planet or you lose! The planet needs your help! Are you ready? Let's go!
A Bird Story,"macOS, Linux, PC","Action, Adventure, RPG, Indie","Nov 5, 2014",Freebird Games, Not rated,85,"A Bird Story is a story-driven adventure RPG developed by Freebird Games. This game serves as a connecting part between To the Moon and its sequel, Finding Paradise, which were developed by the same studio."
Shadowgrounds Survivor,"macOS, PC","Action, Shooter","Nov 13, 2007",Frozenbyte,17+ Mature,79,"Earthlings were badly hit by the devastating meteor shower that hit the planet. However, part of the rain was crystals, which became a source of valuable fuel. When the crystals were over, the Earthmen found a way to teleport to the planet from which these crystals flew to Earth. People moved to this planet in considerable numbers, managed to settle down there, but when they extracted crystals, they accidentally opened the portal to an unknown dimension. The portal became the door for the monsters that captured the planet. Only a small number of people remained. They want to survive. And they are trying to regain control of vital objects.
You can play three characters. All of them have different abilities and weapons. Everyone has their own ways to fight for life and territory. A range of improvements allows you to acquire new weapons, sharpen the methods of violence and increase the stock of life. Ammunition causes more damage, resistance to poisons appears, there are clues about invisible monsters. Yes, it is useful for surviving earthlings - it's difficult to fight off monsters. Because they are everywhere and quite reasonable. This planet belongs to them already. Hundreds times increased insects and reptiloids, abundantly armed and perceiving people either as a forage, or as intruders. From mission to mission, heroes make their way through mountains of corpses, crowds of furious beasts and through territories that have become empty under the onslaught of aliens. And this constant tension is periodically replaced by exclamations of heroes: life is beautiful!"
Lego Star Wars: The Skywalker Saga,"PC, PlayStation 4, Xbox Series S/X, PlayStation 5, Xbox One, Nintendo Switch","Action, Adventure, Platformer","Apr 5, 2022",Microsoft Studios,10+ Everyone 10+,80,"The galaxy is yours with LEGO® Star Wars™: The Skywalker Saga! Play through all nine Star Wars™ saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the Star Wars universe like never before."
McPixel,"iOS, macOS, PC, Android","Action, Adventure, Arcade, Indie, Puzzle","Aug 27, 2012",Mikolaj Kaminski,13+ Teen,76,McPixel is a puzzle game developed by Polish developer Mikołaj Kamiński.
Rochard,"macOS, PC, Linux","Action, Casual, Indie","Nov 15, 2011",, Not rated,81,"Rochard is a 2D side-scrolling platformer where player can manipulate the gravity with a G-Lifter which lets to manipulate big objects. There is an increasing level of difficulty, various puzzle solving missions, action and even humor. Although, the game is two-dimensional it takes place in three-dimensional world. In his journey the main protagonist of the game solves various different puzzles and encounters enemies. In order to overcome these obstacles, the player has to manipulate the gravity, weight and matter properties. With only one press of a button, the player can change the gravity. From normal gravity one can change it to the low gravity which lets player to jump higher and overcome other obstacles for example to throw heavy objects or do a recoil jump. The player also has the ability to swing on certain objects in low gravity using the Gravity Beam. There is also a mechanic in some levels where the gravity is inverted and sometimes the player has the ability to invert the gravity himself."
Space Pirates and Zombies,"PC, macOS, Linux","Action, RPG, Strategy, Indie","Aug 14, 2011",MinMax Games, Not rated,,"At its core, Space Pirates and Zombies is an action based, skill oriented, top down space combat game. It’s similar to the ones we knew and loved in years past, but now using full physics simulation and modern graphics for those oh so pretty explosions. But as you dig deeper, SPAZ becomes much more.
Instead of flying a single ship, you are in charge of an ever growing and evolving fleet, unlocking the rich tactical elements of SPAZ, all accessed at the touch of a button. Issue orders, change ships, apply fleet AI settings, all on the fly. At any moment the battle can change, and the Tactics Panel gives you the tools to make the battle turn in your favor.
As a layer on top of the action and tactics, we have a detailed technology and levelup system akin to what you would expect from an RPG. Learn to build new ships by destroying your enemies. Explore the galaxy to find components, use your hard earned research points to unlock their potential, and then customize every aspect of your new fleet.
Finally, there is the universe in which all this strife and adventure takes place. SPAZ features a persistent randomly generated Galaxy populated with story elements, factions, enemies, missions, items, to provide you with a unique experience each time you play. While you are struggling to survive, uncover the secret of an ever expanding Zombie infestation that spreads by establishing its own real time multi-tiered ecosystem.
Key features: 33 ships to research, build, outfit and pilot.
70 unique components to discover and customize your fleet’s performance.
Totally physics based combat system.
Fight Zombie infestations, battling a full zombie ecosystem comprising four stages of un-life.
Explore a persistent randomly generated galaxy containing hundreds of star systems.
Freedom to explore the galaxy and take on challenges at your own pace.
Aid, flee, or exploit the warring factions in each star system.
The unique event system lets the player change the balance of power in any star system
Carefully spend your hard earned research points on hundreds of upgrades across 15 categories."
Tom Clancy's Rainbow Six Vegas,"PlayStation 3, Xbox 360, PC, Xbox One","Action, Shooter","Nov 22, 2006",Ubisoft Entertainment,17+ Mature,85,"The sixth game in a series of action-packed books/games about special forces from the maestro of the genre Tom Clancy. The plot of the game has nothing to do with the previous parts. The story tells of a new team that was relocated to Las Vegas to defeat international terrorist grouping led by Irena Morales, which attacks different parts of the city."
Subnautica: Below Zero,"Xbox One, Nintendo Switch, PC, macOS, PlayStation 4, Xbox Series S/X, PlayStation 5","Adventure, Indie","May 14, 2021",Unknown Worlds Entertainment,10+ Everyone 10+,80,"Below Zero is an underwater adventure game set on an alien ocean world. It is a new chapter in the Subnautica universe, and is currently in development by Unknown Worlds.Watch out!
Below Zero is not finished! It is in active development: Full of bugs, missing features, and performance issues. If you would like to play Below Zero when it is finished, follow our development progress. We'll keep you informed as updates improve the game.Return to planet 4546B
Dive into a freezing underwater adventure. Below Zero is set in an arctic region of planet 4546B. As a scientist posted to a research station on the planet's surface, you are tasked with studying alien artefacts...
The Vesper space station orbits high above you, sending supplies, instructions, and receiving samples you launch from the surface.When disaster strikes the research station, you must improvise to survive: Construct habitats, scavenge for resources, hunt for food, and craft equipment.Explore new biomes
Swim beneath the blue-lit, arching growth of Twisty Bridges. Navigate treacherous ice floes on the ocean surface. Clamber up snow covered peaks, and venture into icy caves. Maneuver between steaming Thermal Vents. Below Zero presents entirely new environments for you to survive, study, and explore.
Discover new lifeforms in the icy depths of 4546B. Swim through the giant Titan Holefish, escape from the aggressive Brute Shark, and visit the adorable Pengwings. Some residents of the frozen ocean will help you, and some might try to harm you.An ocean of intrigue
Who were the aliens who came here before? Why were they on this planet? Can you trust your commanders? Below Zero extends the story of the Subnautica universe, diving deep into the mystery introduced in the original game. Open up new story elements with every Early Access update.About the development team
Below Zero is being created by Unknown Worlds, a small studio that traces its roots back to the 2002 Half-Life mod Natural Selection. It is the same team that created the original Subnautica. The team is scattered around the globe, from the United States to the United Kingdom, France, Russia, Austria, Australia, Germany, New Zealand, Taiwan, and many more places."
Crash Time 2,PC,"Action, Racing","Nov 27, 2008",Meridian4, Not rated,78,Crash Time 2 is a mission-based open-world driving game developed by Synetic.
The Deed,PC,"Adventure, RPG","Nov 23, 2015",GrabTheGames, Not rated,,
The Crew 2,"PlayStation 4, Xbox One, PC","Action, Racing, Massively Multiplayer","Jun 29, 2018",Ubisoft Entertainment,13+ Teen,77,
Painkiller: Black Edition,PC,,"Jan 24, 2007",THQ Nordic, Not rated,81,Painkiller is a game about the adventures in the afterlife. The protagonist will go through Purgatory and Hell to fight the hordes of demons and eventually Lucifer himself. The game was compared to Serious Sam and Doom.
King's Bounty: Crossworlds,PC,"RPG, Strategy","Sep 17, 2010",1C-SoftClub, Not rated,78,"The Russian approach to the game King's Bounty released on the largest platforms back in the 1990s. The series is often compared with the universe of Heroes of Might and Magic, but the gameplay and other differences (for example, the lack of a turn-based movement around the game world). But games have one publisher - New World Computing."
Lone Survivor: The Director's Cut,"Wii U, PlayStation 4, PlayStation 3, PS Vita, PC, macOS","Action, Adventure, RPG, Simulation, Indie","Apr 23, 2012",Curve Digital,17+ Mature,81,"Lone Survivor: The Director's Cut is a version of the game Lone Survivor, released as an addition to the game Lone Survivor."
Vampire: The Masquerade - Bloodhunt,"PlayStation 5, PC",Action,"Sep 7, 2021",Sharkmob, Not rated,,"A treacherous betrayal has stirred a war amongst vampires, who are also targeted for annihilation by the secret society known as the Entity. Use your supernatural powers, weapons, and wit in this third-person battle royale game to dominate the night and restore the masquerade.
JOIN THE BLOODHUNT
Feed on potent blood to grow in power then hunt using your supernatural abilities and senses. With Prague in lockdown, defy gravity and strike from anywhere in your quest to dominate the night.
SHOW OFF YOUR VAMPIRE FANTASY
Choose your Clan allegiance to define your playstyle and let your personality shine through as you create your most unique looks for rivals to remember.
RESTORE THE MASQUERADE
Form unholy alliances or fight alone away from human eyesight. As the hunters become the hunted, fight to the last drop to become the ultimate vampire and restore order."
Rock of Ages,"PC, PlayStation 3, Xbox 360","Action, Strategy, Racing, Platformer","Aug 31, 2011",Atlus USA,10+ Everyone 10+,84,"Rock of Ages is a game which resembles a racing game, a Tower Defence and a platformer at the same time. It was developed by ACE Team."
Do Not Feed the Monkeys,"Linux, Android, PlayStation 4, Nintendo Switch, Xbox One, PC, macOS, iOS","Adventure, Strategy, Simulation, Indie, Puzzle","Oct 22, 2018",Alawar Entertainment, Not rated,77,"Do Not Feed the Monkeys is a unique digital voyeur simulator.
Now that you’ve been accepted by “The Primate Observation Club” you can invade the privacy of dozens of strangers and witness their most intimate moments while you make your living. Progress in the Club and don’t forget its number one rule: do not interact with the spied specimens. Do Not Feed the Monkeys.
Browse social networks, wikis, websites, newspapers, online stores… and use chat and email tools. Once you’ve got information about the spied people… will you intercede in the name of justice, will you sabotage their dreams, or will you sit idly by while the world burns?
Whatever you do (or don’t do) will have consequences!
MONITOR hacked surveillance cameras
PRY INTO the lives of dozens of subjects
INTERACT (or not!) with fun, sad, horrific, surprising, dramatic, or sci-fi themed narratives
DECIDE THE FATE of the subjects: will you help them? Will you expose their most intimate secrets?
BROWSE social networks profiles, wikis, websites, newspapers, online stores... Use chat logs, email tools and more!
MANAGE your resources: will you spend all your savings on buying more “cages”, or will pay rent? Are you healthy enough to work? How many sleepless nights can you stand before collapsing from exhaustion?
REPLAY to experience different climactic endings
""The Primate Observation Club” is not a wildlife conservation society as the name would suggest. It is a front for a shadowy group used to watch others through surveillance cameras and compromised webcams. Tired of your ramshackle apartment, dull existence and boring jobs, you’re accepted into the exclusive organization, so you can pry into the privacy of the “caged monkeys” as they go about their lives…
The Club urges you to not interfere with those observed, though you need to progress in it to access the mythical “Big Primate Cage”. But... will you resist? Will you help those you’re spying on, extort them, expose them, or will you follow instructions and just watch?
Whatever you decide to do, or not do, there will be consequences!
Do Not Feed the Monkeys includes a little of uncensored pixelated violence and pixelated nudity. It might not be suitable for younger players or photo-realistic nudity lovers."
Tentacle Locker,"iOS, PC, PlayStation 3","Arcade, Indie","Aug 8, 2018",,18+ Adults Only,,"See a girl you like? Get her in your locker!
Use the arrow keys (or A and D) to move around, and Space to grab.
Once you've caught a girl, you can take a peak at whats going on inside ;)
While watching, use the arrows to advance, or esc to force out."
Knowledge is Power,"PlayStation 4, iOS, Android",Family,"Oct 20, 2017",PlayStation Mobile,13+ Teen,,"Answer a massive variety of trivia questions to outsmart your opponents, with tactile challenges thrown in to keep you on your toes. This is all about speed and accuracy -- are you up to the task?
Compatible mobile device and Companion App required. For more information visit: www.playstation.com/playlinkcompatibility.
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account."
LUFTRAUSERS,"PS Vita, PlayStation 3, iOS, PC, Linux, Android, macOS","Action, Simulation, Arcade, Indie","Mar 17, 2014",Devolver Digital,10+ Everyone 10+,80,LUFTRAUSERS is a shoot 'em up game developed by Vlambeer. It is a remake of an earlier game of the same name by Vlambeer made on Flash.
GOD EATER 2: Rage Burst,"PC, PS Vita, PlayStation 4","Action, RPG","Feb 19, 2015",Bandai Namco Entertainment,13+ Teen,80,"Three years after the events of GOD EATER: Resurrection, a mysterious red rain sparks a fatal pandemic called the Black Plague. Take control of their newest recruit as you master incredible weaponry, challenge enormous monsters, and cooperate with an iconic cast of characters fighting for humanity in GOD EATER 2: Rage Burst.
• More Than One Way to Slay a Monster – Use “God Arcs”, massive weapons created from Oracle Cells, to hack, slash, shoot and devour Aragami.
• Monstrous Content – GOD EATER 2: Rage Burst continues the epic GOD EATER saga, featuring new and returning heroes, rich character and weapon customization, and over 100 hours of story and gameplay content, fully voiced in English.
• Power of Blood – Learn over 400 different Blood Arts for Melee weapons to enhance your attacks and Blood Bullets to add various attributes.
• Squad Up – Play with up to 3 additional players online to form a cooperative four man cell, perfect for taking on the most difficult of missions.
Additional hardware required for Remote Play.
Additional hardware required for Interconnectivity.
Use of PSN and SEN account are subject to the Terms of Service and User Agreement and applicable privacy policy (see terms at sonyentertainmentnetwork.com/terms-of-service & sonyentertainmentnetwork.com/privacy-policy).
Online features may be terminated at any time.
*Online multiplayer requires a PlayStation®Plus membership.
1 player
Network Players 2-4
11GB minimum save size
DUALSHOCK®4
Remote Play
Interconnectivity PS4™ • PS Vita
Online Play (Optional)
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account.
GOD EATER™ 2 Rage Burst&©2015 BANDAI NAMCO Entertainment Inc."
Reigns,"Android, Linux, macOS, PC, iOS","Adventure, RPG, Simulation, Card, Indie","Aug 10, 2016",Devolver Digital, Not rated,77,
Singularity,"PC, PlayStation 3, Xbox 360","Action, Shooter","Jul 1, 2010",Activision Blizzard,17+ Mature,76,Singularity is a shooter game developed by Raven Software. 
Warhammer Underworlds: Online,PC,Strategy,"Jan 29, 2020",Steel Sky Productions, Not rated,,"The Ultimate Strategy Combat Video GameHigh-stakes, turn-based strategy.
Digital adaptation of the hit tabletop game from Games Workshop.
Pit mighty warbands against one another in an eternal battle for Glory.
Easy to grasp and quick to play.
Dice-and-cards mechanics offer boundless strategic depth.
Choose a warband, build your decks, roll the dice, and carve a path to victory.Craft Powerful Card Decks Deckbuilding is the strategic heart of Warhammer Underworlds: Online.
Your 12-card objective deck will shape your tactical approach to a match.
While your 20-card power deck is filled with the clever gambits and powerful upgrades you’ll need to win.
Score Glory by both taking out enemy fighters and fulfilling the objectives in your deck.
Each warband has access to a library of diverse universal cards and exclusive faction cards that highlight the particular strengths of your warband.
Play, tweak, and improve to craft the ultimate strategy. Assemble Your WarbandYour warband is a group of fighters who are trapped together amongst the towering spires of the Mirrored City of Shadespire, and the haunted, labyrinthine corridors of the Nightvault that lays beneath.
Warband fighters are united by a common goal and each has distinct combat style and character; there is no single path that guarantees victory.
Make an aggressive charge to take out enemy fighters.
Use clever defensive positioning to swarm your opponents.
Or craft a shrewd objective deck and fulfil conditions that perfectly align with the strengths of your warband."
Indivisible,"PlayStation 4, Nintendo Switch, Linux, macOS, PC, Xbox One","Action, RPG, Indie","Oct 7, 2019",505 Games,13+ Teen,79,"Indivisible is an exciting RPG platformer set in an immersive, vibrant world that tells the story of Ajna, a good-natured tomboy with a rebellious streak. Raised by her father on the outskirts of their rural town, her life is thrown into chaos when her home is attacked and a mysterious power awakens within her. Her world now in chaos, Ajna sets out on a quest to save everything she knows from being destroyed.
Key Features:
Masterfully crafted story and characters: Indivisible tells the story of Ajna, and her quest to find redemption for her father and village. Throughout her quest, she’ll encounter an incredibly diverse cast of “Incarnations”, people whom she can absorb into herself and manifest to fight alongside her. There are many Incarnations to recruit, and by uniting unique characters from faraway lands, she will learn about herself and the world she inhabits.
Action-packed battles: Obtain a variety of weapon types, learn new combat skills and recruit more than 25 playable Incarnations to build your battle party and engage monsters in fast-paced, strategic combat.
Beautifully drawn characters and world: Building on its winning formula of 2D, hand-drawn animation with Skullgirls, LabZero draws inspiration from various cultures and mythologies to create visually dynamic environments and a rich cast of characters with unique stories of their own.
Unique Battle System: The key to success is mastering your party’s attacks to create combos, and experimenting with new Incarnations and attacks to make the most out of every round. The active controls allow your party to function as a single, customizable fighting game character while switching between characters and unlocking new attacks as Ajna’s affinity for her weapons develops.
Build your Inner Realm: Along with her ability to absorb certain people, Ajna will also discover she can meditate and enter a mysterious dimension growing inside her. Once she discovers it, Ajna’s Inner Realm becomes the central hub for the game, where most of the game’s quests, upgrade and saving functionality resides. Simply pressing a button will send Ajna to this realm, sparing needless trekking back to towns.
Stellar soundtrack: Lose yourself in a stunning soundtrack by legendary Japanese game music composer Hiroki Kikuta who is responsible for is responsible for the amazing soundtracks to Secret of Mana, Seiken Densetsu III (Secret of Mana 2), Soukaigi, and Koudelka among others."
Anachronox,PC,"Action, RPG","Jun 26, 2001",Square Enix,13+ Teen,77,Anachronox is a third-person role-playing game developed by Ion Storm. 
Lure of the Temptress,"Commodore / Amiga, Atari ST, Classic Macintosh, PC, Linux, macOS",Adventure,"Apr 11, 1992",Virgin Interactive,10+ Everyone 10+,77,
Syberia 3,"Nintendo Switch, macOS, PC, Xbox One, PlayStation 4","Adventure, Puzzle","Apr 19, 2017",Microids,13+ Teen,83,
Geometry Dash,"iOS, PC, macOS, Android","Arcade, Casual, Indie","Aug 13, 2013",RobTop Games,0+ Everyone,84,"Jump and fly your way through danger in this rhythm-based action platformer!
Prepare for a near impossible challenge in the world of Geometry Dash. Push your skills to the limit as you jump, fly and flip your way through dangerous passages and spiky obstacles.Game Features
Rhythm-based Action Platforming!
Lots of levels with unique soundtracks!
Build and share your own levels using the level editor!
Thousands of high quality user generated levels!
Unlock new icons and colors to customize your character!
Fly rockets, flip gravity and much more!
Use practice mode to sharpen your skills!
Lots of achievements and rewards!
Challenge yourself with the near impossible!
Steam users get two exclusive unlockable icons!"
WipEout Omega Collection,PlayStation 4,Racing,"Jun 7, 2017",,10+ Everyone 10+,85,
Skate 3,"Xbox One, PlayStation 3, Xbox 360","Sports, Arcade","May 11, 2010",Electronic Arts,13+ Teen,80,Skate 3 is a skateboarding simulator developed by EA Black Box. It is the third game in the series and is a direct sequel to Skate 2.
Dead Island: Epidemic,PC,Action,"Dec 8, 2014",Deep Silver,10+ Everyone 10+,,"A beautiful island serves as a haven of the ""living dead"" horde, eager to devour all life.
The island is an open world divided into locations.
Three teams are present on the field at the same time. Your ""base"" is a car with a turret, in its body you store the collected things. Collect everything you need - this is a victory.
Firearms are hard to find. You have to use unusual objects, fists and legs. Weapons can be improved, for this, you can find drawings and materials.
You can upgrade almost everything: account, hero, weapons and even a workshop. Killing enemies, you raise the level and improve skills - to a certain level. In the next battle, you will start all over again, the achievements will not be preserved.
Valuable things fall out of almost all opponents, but the most valuable can be taken for the capture or defense of ""checkpoints"". You can also steal resources from an enemy base.  Funny moment - if you collect a lot of things, the movement becomes more difficult and slower.
There are many tactical options in the game. In addition to the ordinary dead, there are especially dangerously infected. They spit bile and grab by the tongue."
Battleborn,"Xbox One, PlayStation 4, PC","Action, Shooter","May 2, 2016",2K Games,13+ Teen,78,Battleborn is a first-person shooter game that features several elements from MOBA and was developed by Gearbox Software.
Castlevania: Symphony of the Night,"SEGA Saturn, PlayStation, Android, Xbox 360, iOS","Action, Adventure","Mar 20, 1997",Konami, Not rated,93,"Castlevania: Symphony of the Night is a platform-adventure action role-playing game developed and published by Konami in 1997 for the PlayStation. It was directed and produced by Toru Hagihara, with Koji Igarashi acting as assistant director. It is the direct sequel to Castlevania: Rondo of Blood taking place four years later. It features Dracula's dhampir son Alucard as the protagonist rising from his slumber to explore the Dracula's castle which has re-appeared after Richter Belmont has vanished. It marks a break from previous games in the series, introducing exploration, non-linear level design and role-playing elements.
Initially, the game was unsuccessful – particularly in the United States where it was meagerly publicized – but thanks to praise by critics, it gained sales through word-of-mouth and became a hit. It has been re-released on several consoles and is considered a sleeper hit, a cult classic, and one of the best video games ever made."
Breath of Death VII,PC,"RPG, Indie","Jul 13, 2011",Zeboyd Games, Not rated,81,"The game is a parody of classic RPGs which were popular among the players back in the day. Breath of Death VIII is a 2D adventure in the best traditions of role-playing games of the late 80's, early 90's from the American studio Zeboyd Games. The studio consists of only two people: Robert Boyd and William Stiernberg. The title is a reference to the number parts of Final Fantasy, in fact, the previous 6 of the Breath of Death parts do not exist."
Polarity,PC,"Action, Adventure, RPG, Strategy, Simulation, Sports, Racing, Casual, Indie","Jan 17, 2014",Sunken Treasure Games, Not rated,90,"Polarity is a first-person puzzle that continues the tradition of Portal, and a similar visual style is a direct homage to the Valve's game. The player has to get through the 15 levels of the campaign solo or with a friend."
